iter;dataset;cls;method;param;value;score
1;traffic_fines_1;glrm;all_agg;lambda0;0.0004939664189653173;0.2694227215208524
1;traffic_fines_1;glrm;all_agg;lambda1;0.009492064157073824;0.2694227215208524
1;traffic_fines_1;glrm;all_agg;processing_time;379.52850127220154;0
1;traffic_fines_1;glrm;all_agg;lambda0;0.0004939664189653173;0.5394352766548577
1;traffic_fines_1;glrm;all_agg;lambda1;0.009492064157073824;0.5394352766548577
1;traffic_fines_1;glrm;all_agg;processing_time;753.9711110591888;0
1;traffic_fines_1;glrm;all_agg;lambda0;0.0004939664189653173;0.8086167729963751
1;traffic_fines_1;glrm;all_agg;lambda1;0.009492064157073824;0.8086167729963751
1;traffic_fines_1;glrm;all_agg;processing_time;1136.7729089260101;0
2;traffic_fines_1;glrm;all_agg;lambda0;0.0061076035592216495;0.2676029151472637
2;traffic_fines_1;glrm;all_agg;lambda1;0.003649003674768483;0.2676029151472637
2;traffic_fines_1;glrm;all_agg;processing_time;1500.4657289981842;0
2;traffic_fines_1;glrm;all_agg;lambda0;0.0061076035592216495;0.5365124251845859
2;traffic_fines_1;glrm;all_agg;lambda1;0.003649003674768483;0.5365124251845859
2;traffic_fines_1;glrm;all_agg;processing_time;2986.8203818798065;0
2;traffic_fines_1;glrm;all_agg;lambda0;0.0061076035592216495;0.8047016037591109
2;traffic_fines_1;glrm;all_agg;lambda1;0.003649003674768483;0.8047016037591109
2;traffic_fines_1;glrm;all_agg;processing_time;4745.9102210998535;0
3;traffic_fines_1;glrm;all_agg;lambda0;0.002506433922159593;0.2727578133591273
3;traffic_fines_1;glrm;all_agg;lambda1;0.002304030840029294;0.2727578133591273
3;traffic_fines_1;glrm;all_agg;processing_time;703.4980297088623;0
3;traffic_fines_1;glrm;all_agg;lambda0;0.002506433922159593;0.5460332112992693
3;traffic_fines_1;glrm;all_agg;lambda1;0.002304030840029294;0.5460332112992693
3;traffic_fines_1;glrm;all_agg;processing_time;1280.0051221847534;0
3;traffic_fines_1;glrm;all_agg;lambda0;0.002506433922159593;0.8184768719256619
3;traffic_fines_1;glrm;all_agg;lambda1;0.002304030840029294;0.8184768719256619
3;traffic_fines_1;glrm;all_agg;processing_time;1998.1362257003784;0
4;traffic_fines_1;glrm;all_agg;lambda0;0.008559331697417362;0.2688958442464498
4;traffic_fines_1;glrm;all_agg;lambda1;0.0009554275565576566;0.2688958442464498
4;traffic_fines_1;glrm;all_agg;processing_time;13323.772720813751;0
4;traffic_fines_1;glrm;all_agg;lambda0;0.008559331697417362;0.5382420944404154
4;traffic_fines_1;glrm;all_agg;lambda1;0.0009554275565576566;0.5382420944404154
4;traffic_fines_1;glrm;all_agg;processing_time;15981.585471868515;0
4;traffic_fines_1;glrm;all_agg;lambda0;0.008559331697417362;0.8068230267210926
4;traffic_fines_1;glrm;all_agg;lambda1;0.0009554275565576566;0.8068230267210926
4;traffic_fines_1;glrm;all_agg;processing_time;21245.7409491539;0
5;traffic_fines_1;glrm;all_agg;lambda0;0.00623241232104376;0.26524808058042026
5;traffic_fines_1;glrm;all_agg;lambda1;0.008883711386946396;0.26524808058042026
5;traffic_fines_1;glrm;all_agg;processing_time;493.79068183898926;0
5;traffic_fines_1;glrm;all_agg;lambda0;0.00623241232104376;0.5319298517167946
5;traffic_fines_1;glrm;all_agg;lambda1;0.008883711386946396;0.5319298517167946
5;traffic_fines_1;glrm;all_agg;processing_time;997.398265838623;0
5;traffic_fines_1;glrm;all_agg;lambda0;0.00623241232104376;0.7978622612868028
5;traffic_fines_1;glrm;all_agg;lambda1;0.008883711386946396;0.7978622612868028
5;traffic_fines_1;glrm;all_agg;processing_time;1488.8447284698486;0
