iter;dataset;cls;method;param;value;score
1;bpic2015_2_f2;glrm;all_agg;lambda0;0.0004939664189653173;0.31406290147839666
1;bpic2015_2_f2;glrm;all_agg;lambda1;0.009492064157073824;0.31406290147839666
1;bpic2015_2_f2;glrm;all_agg;processing_time;21.799814462661743;0
1;bpic2015_2_f2;glrm;all_agg;lambda0;0.0004939664189653173;0.6308874809627932
1;bpic2015_2_f2;glrm;all_agg;lambda1;0.009492064157073824;0.6308874809627932
1;bpic2015_2_f2;glrm;all_agg;processing_time;42.42197394371033;0
1;bpic2015_2_f2;glrm;all_agg;lambda0;0.0004939664189653173;0.9406547406949427
1;bpic2015_2_f2;glrm;all_agg;lambda1;0.009492064157073824;0.9406547406949427
1;bpic2015_2_f2;glrm;all_agg;processing_time;64.18130159378052;0
2;bpic2015_2_f2;glrm;all_agg;lambda0;0.0061076035592216495;0.3137737546078318
2;bpic2015_2_f2;glrm;all_agg;lambda1;0.003649003674768483;0.3137737546078318
2;bpic2015_2_f2;glrm;all_agg;processing_time;108.45065093040466;0
2;bpic2015_2_f2;glrm;all_agg;lambda0;0.0061076035592216495;0.6293517248740578
2;bpic2015_2_f2;glrm;all_agg;lambda1;0.003649003674768483;0.6293517248740578
2;bpic2015_2_f2;glrm;all_agg;processing_time;237.15326118469238;0
2;bpic2015_2_f2;glrm;all_agg;lambda0;0.0061076035592216495;0.9384581570291702
2;bpic2015_2_f2;glrm;all_agg;lambda1;0.003649003674768483;0.9384581570291702
2;bpic2015_2_f2;glrm;all_agg;processing_time;376.0075743198395;0
3;bpic2015_2_f2;glrm;all_agg;lambda0;0.002506433922159593;0.3177934382819613
3;bpic2015_2_f2;glrm;all_agg;lambda1;0.002304030840029294;0.3177934382819613
3;bpic2015_2_f2;glrm;all_agg;processing_time;152.14176201820374;0
3;bpic2015_2_f2;glrm;all_agg;lambda0;0.002506433922159593;0.6344116895540544
3;bpic2015_2_f2;glrm;all_agg;lambda1;0.002304030840029294;0.6344116895540544
3;bpic2015_2_f2;glrm;all_agg;processing_time;346.63497948646545;0
3;bpic2015_2_f2;glrm;all_agg;lambda0;0.002506433922159593;0.9423126350916898
3;bpic2015_2_f2;glrm;all_agg;lambda1;0.002304030840029294;0.9423126350916898
3;bpic2015_2_f2;glrm;all_agg;processing_time;537.6258602142334;0
4;bpic2015_2_f2;glrm;all_agg;lambda0;0.008559331697417362;0.3089461411659495
4;bpic2015_2_f2;glrm;all_agg;lambda1;0.0009554275565576566;0.3089461411659495
4;bpic2015_2_f2;glrm;all_agg;processing_time;336.42168855667114;0
4;bpic2015_2_f2;glrm;all_agg;lambda0;0.008559331697417362;0.6216065052706428
4;bpic2015_2_f2;glrm;all_agg;lambda1;0.0009554275565576566;0.6216065052706428
4;bpic2015_2_f2;glrm;all_agg;processing_time;762.9808466434479;0
4;bpic2015_2_f2;glrm;all_agg;lambda0;0.008559331697417362;0.9242012090780006
4;bpic2015_2_f2;glrm;all_agg;lambda1;0.0009554275565576566;0.9242012090780006
4;bpic2015_2_f2;glrm;all_agg;processing_time;1148.7508153915405;0
5;bpic2015_2_f2;glrm;all_agg;lambda0;0.00623241232104376;0.3112157224682394
5;bpic2015_2_f2;glrm;all_agg;lambda1;0.008883711386946396;0.3112157224682394
5;bpic2015_2_f2;glrm;all_agg;processing_time;23.615314245224;0
5;bpic2015_2_f2;glrm;all_agg;lambda0;0.00623241232104376;0.6271600184483191
5;bpic2015_2_f2;glrm;all_agg;lambda1;0.008883711386946396;0.6271600184483191
5;bpic2015_2_f2;glrm;all_agg;processing_time;49.15903043746948;0
5;bpic2015_2_f2;glrm;all_agg;lambda0;0.00623241232104376;0.9322280406184852
5;bpic2015_2_f2;glrm;all_agg;lambda1;0.008883711386946396;0.9322280406184852
5;bpic2015_2_f2;glrm;all_agg;processing_time;73.82681083679199;0
