iter;dataset;cls;method;param;value;score
1;bpic2017_accepted;glrm;PC20_agg;lambda0;0.0004939664189653173;0.27484493718186326
1;bpic2017_accepted;glrm;PC20_agg;lambda1;0.009492064157073824;0.27484493718186326
1;bpic2017_accepted;glrm;PC20_agg;processing_time;48.968178033828735;0
1;bpic2017_accepted;glrm;PC20_agg;lambda0;0.0004939664189653173;0.5507046770835009
1;bpic2017_accepted;glrm;PC20_agg;lambda1;0.009492064157073824;0.5507046770835009
1;bpic2017_accepted;glrm;PC20_agg;processing_time;96.39486360549927;0
1;bpic2017_accepted;glrm;PC20_agg;lambda0;0.0004939664189653173;0.8269045093828599
1;bpic2017_accepted;glrm;PC20_agg;lambda1;0.009492064157073824;0.8269045093828599
1;bpic2017_accepted;glrm;PC20_agg;processing_time;143.19846200942993;0
2;bpic2017_accepted;glrm;PC20_agg;lambda0;0.0061076035592216495;0.27484493718186326
2;bpic2017_accepted;glrm;PC20_agg;lambda1;0.003649003674768483;0.27484493718186326
2;bpic2017_accepted;glrm;PC20_agg;processing_time;47.36078143119812;0
2;bpic2017_accepted;glrm;PC20_agg;lambda0;0.0061076035592216495;0.5507046770835009
2;bpic2017_accepted;glrm;PC20_agg;lambda1;0.003649003674768483;0.5507046770835009
2;bpic2017_accepted;glrm;PC20_agg;processing_time;96.35170769691467;0
2;bpic2017_accepted;glrm;PC20_agg;lambda0;0.0061076035592216495;0.8269045093828599
2;bpic2017_accepted;glrm;PC20_agg;lambda1;0.003649003674768483;0.8269045093828599
2;bpic2017_accepted;glrm;PC20_agg;processing_time;145.63861536979675;0
3;bpic2017_accepted;glrm;PC20_agg;lambda0;0.002506433922159593;0.27484493718186326
3;bpic2017_accepted;glrm;PC20_agg;lambda1;0.002304030840029294;0.27484493718186326
3;bpic2017_accepted;glrm;PC20_agg;processing_time;48.41210174560547;0
3;bpic2017_accepted;glrm;PC20_agg;lambda0;0.002506433922159593;0.5507046770835009
3;bpic2017_accepted;glrm;PC20_agg;lambda1;0.002304030840029294;0.5507046770835009
3;bpic2017_accepted;glrm;PC20_agg;processing_time;97.38257050514221;0
3;bpic2017_accepted;glrm;PC20_agg;lambda0;0.002506433922159593;0.8269045093828599
3;bpic2017_accepted;glrm;PC20_agg;lambda1;0.002304030840029294;0.8269045093828599
3;bpic2017_accepted;glrm;PC20_agg;processing_time;144.84799456596375;0
4;bpic2017_accepted;glrm;PC20_agg;lambda0;0.008559331697417362;0.27484493718186326
4;bpic2017_accepted;glrm;PC20_agg;lambda1;0.0009554275565576566;0.27484493718186326
4;bpic2017_accepted;glrm;PC20_agg;processing_time;49.324065923690796;0
4;bpic2017_accepted;glrm;PC20_agg;lambda0;0.008559331697417362;0.5507046770835009
4;bpic2017_accepted;glrm;PC20_agg;lambda1;0.0009554275565576566;0.5507046770835009
4;bpic2017_accepted;glrm;PC20_agg;processing_time;98.73564743995667;0
4;bpic2017_accepted;glrm;PC20_agg;lambda0;0.008559331697417362;0.8269045093828599
4;bpic2017_accepted;glrm;PC20_agg;lambda1;0.0009554275565576566;0.8269045093828599
4;bpic2017_accepted;glrm;PC20_agg;processing_time;147.2960274219513;0
5;bpic2017_accepted;glrm;PC20_agg;lambda0;0.00623241232104376;0.27484493718186326
5;bpic2017_accepted;glrm;PC20_agg;lambda1;0.008883711386946396;0.27484493718186326
5;bpic2017_accepted;glrm;PC20_agg;processing_time;49.00443935394287;0
5;bpic2017_accepted;glrm;PC20_agg;lambda0;0.00623241232104376;0.5507046770835009
5;bpic2017_accepted;glrm;PC20_agg;lambda1;0.008883711386946396;0.5507046770835009
5;bpic2017_accepted;glrm;PC20_agg;processing_time;97.04386115074158;0
5;bpic2017_accepted;glrm;PC20_agg;lambda0;0.00623241232104376;0.8269045093828599
5;bpic2017_accepted;glrm;PC20_agg;lambda1;0.008883711386946396;0.8269045093828599
5;bpic2017_accepted;glrm;PC20_agg;processing_time;144.98526525497437;0
