iter;dataset;cls;method;param;value;score
1;bpic2017_accepted;glrm;all_agg;lambda0;0.0004939664189653173;0.29296816970145634
1;bpic2017_accepted;glrm;all_agg;lambda1;0.009492064157073824;0.29296816970145634
1;bpic2017_accepted;glrm;all_agg;processing_time;361.1476035118103;0
1;bpic2017_accepted;glrm;all_agg;lambda0;0.0004939664189653173;0.585154142454443
1;bpic2017_accepted;glrm;all_agg;lambda1;0.009492064157073824;0.585154142454443
1;bpic2017_accepted;glrm;all_agg;processing_time;718.7035808563232;0
1;bpic2017_accepted;glrm;all_agg;lambda0;0.0004939664189653173;0.8778216431407119
1;bpic2017_accepted;glrm;all_agg;lambda1;0.009492064157073824;0.8778216431407119
1;bpic2017_accepted;glrm;all_agg;processing_time;1185.316888809204;0
2;bpic2017_accepted;glrm;all_agg;lambda0;0.0061076035592216495;0.29288545053252024
2;bpic2017_accepted;glrm;all_agg;lambda1;0.003649003674768483;0.29288545053252024
2;bpic2017_accepted;glrm;all_agg;processing_time;770.7626438140869;0
2;bpic2017_accepted;glrm;all_agg;lambda0;0.0061076035592216495;0.5850282758871426
2;bpic2017_accepted;glrm;all_agg;lambda1;0.003649003674768483;0.5850282758871426
2;bpic2017_accepted;glrm;all_agg;processing_time;1751.20463681221;0
2;bpic2017_accepted;glrm;all_agg;lambda0;0.0061076035592216495;0.8776881398114802
2;bpic2017_accepted;glrm;all_agg;lambda1;0.003649003674768483;0.8776881398114802
2;bpic2017_accepted;glrm;all_agg;processing_time;2552.8638260364532;0
3;bpic2017_accepted;glrm;all_agg;lambda0;0.002506433922159593;0.296581700393139
3;bpic2017_accepted;glrm;all_agg;lambda1;0.002304030840029294;0.296581700393139
3;bpic2017_accepted;glrm;all_agg;processing_time;855.5519876480103;0
3;bpic2017_accepted;glrm;all_agg;lambda0;0.002506433922159593;0.5923789898406336
3;bpic2017_accepted;glrm;all_agg;lambda1;0.002304030840029294;0.5923789898406336
3;bpic2017_accepted;glrm;all_agg;processing_time;1557.4512586593628;0
3;bpic2017_accepted;glrm;all_agg;lambda0;0.002506433922159593;0.8890441392843723
3;bpic2017_accepted;glrm;all_agg;lambda1;0.002304030840029294;0.8890441392843723
3;bpic2017_accepted;glrm;all_agg;processing_time;2259.8996562957764;0
4;bpic2017_accepted;glrm;all_agg;lambda0;0.008559331697417362;0.2930611493670564
4;bpic2017_accepted;glrm;all_agg;lambda1;0.0009554275565576566;0.2930611493670564
4;bpic2017_accepted;glrm;all_agg;processing_time;929.9120509624481;0
4;bpic2017_accepted;glrm;all_agg;lambda0;0.008559331697417362;0.5866281155804921
4;bpic2017_accepted;glrm;all_agg;lambda1;0.0009554275565576566;0.5866281155804921
4;bpic2017_accepted;glrm;all_agg;processing_time;3149.913568019867;0
4;bpic2017_accepted;glrm;all_agg;lambda0;0.008559331697417362;0.8811835553923429
4;bpic2017_accepted;glrm;all_agg;lambda1;0.0009554275565576566;0.8811835553923429
4;bpic2017_accepted;glrm;all_agg;processing_time;4658.968289136887;0
5;bpic2017_accepted;glrm;all_agg;lambda0;0.00623241232104376;0.2889698068425691
5;bpic2017_accepted;glrm;all_agg;lambda1;0.008883711386946396;0.2889698068425691
5;bpic2017_accepted;glrm;all_agg;processing_time;472.1453182697296;0
5;bpic2017_accepted;glrm;all_agg;lambda0;0.00623241232104376;0.5765937281028566
5;bpic2017_accepted;glrm;all_agg;lambda1;0.008883711386946396;0.5765937281028566
5;bpic2017_accepted;glrm;all_agg;processing_time;976.1403741836548;0
5;bpic2017_accepted;glrm;all_agg;lambda0;0.00623241232104376;0.8650881793012073
5;bpic2017_accepted;glrm;all_agg;lambda1;0.008883711386946396;0.8650881793012073
5;bpic2017_accepted;glrm;all_agg;processing_time;1422.1572597026825;0
