iter;dataset;cls;method;param;value;score
1;traffic_fines_1;glrm;PC10_agg;lambda0;0.0004939664189653173;0.26034682415843213
1;traffic_fines_1;glrm;PC10_agg;lambda1;0.009492064157073824;0.26034682415843213
1;traffic_fines_1;glrm;PC10_agg;processing_time;14.801755666732788;0
1;traffic_fines_1;glrm;PC10_agg;lambda0;0.0004939664189653173;0.5208260985617793
1;traffic_fines_1;glrm;PC10_agg;lambda1;0.009492064157073824;0.5208260985617793
1;traffic_fines_1;glrm;PC10_agg;processing_time;29.20949649810791;0
1;traffic_fines_1;glrm;PC10_agg;lambda0;0.0004939664189653173;0.7804427127049793
1;traffic_fines_1;glrm;PC10_agg;lambda1;0.009492064157073824;0.7804427127049793
1;traffic_fines_1;glrm;PC10_agg;processing_time;43.863194704055786;0
2;traffic_fines_1;glrm;PC10_agg;lambda0;0.0061076035592216495;0.26034778272760467
2;traffic_fines_1;glrm;PC10_agg;lambda1;0.003649003674768483;0.26034778272760467
2;traffic_fines_1;glrm;PC10_agg;processing_time;16.910103797912598;0
2;traffic_fines_1;glrm;PC10_agg;lambda0;0.0061076035592216495;0.5208290146362833
2;traffic_fines_1;glrm;PC10_agg;lambda1;0.003649003674768483;0.5208290146362833
2;traffic_fines_1;glrm;PC10_agg;processing_time;34.547099590301514;0
2;traffic_fines_1;glrm;PC10_agg;lambda0;0.0061076035592216495;0.7804475103925773
2;traffic_fines_1;glrm;PC10_agg;lambda1;0.003649003674768483;0.7804475103925773
2;traffic_fines_1;glrm;PC10_agg;processing_time;52.3191442489624;0
3;traffic_fines_1;glrm;PC10_agg;lambda0;0.002506433922159593;0.26034682415843213
3;traffic_fines_1;glrm;PC10_agg;lambda1;0.002304030840029294;0.26034682415843213
3;traffic_fines_1;glrm;PC10_agg;processing_time;14.751010656356812;0
3;traffic_fines_1;glrm;PC10_agg;lambda0;0.002506433922159593;0.5208260985617793
3;traffic_fines_1;glrm;PC10_agg;lambda1;0.002304030840029294;0.5208260985617793
3;traffic_fines_1;glrm;PC10_agg;processing_time;29.50958561897278;0
3;traffic_fines_1;glrm;PC10_agg;lambda0;0.002506433922159593;0.7804427127049793
3;traffic_fines_1;glrm;PC10_agg;lambda1;0.002304030840029294;0.7804427127049793
3;traffic_fines_1;glrm;PC10_agg;processing_time;44.51488661766052;0
4;traffic_fines_1;glrm;PC10_agg;lambda0;0.008559331697417362;0.26034778272760467
4;traffic_fines_1;glrm;PC10_agg;lambda1;0.0009554275565576566;0.26034778272760467
4;traffic_fines_1;glrm;PC10_agg;processing_time;16.660089254379272;0
4;traffic_fines_1;glrm;PC10_agg;lambda0;0.008559331697417362;0.5208290146362833
4;traffic_fines_1;glrm;PC10_agg;lambda1;0.0009554275565576566;0.5208290146362833
4;traffic_fines_1;glrm;PC10_agg;processing_time;33.46046280860901;0
4;traffic_fines_1;glrm;PC10_agg;lambda0;0.008559331697417362;0.7804475103925773
4;traffic_fines_1;glrm;PC10_agg;lambda1;0.0009554275565576566;0.7804475103925773
4;traffic_fines_1;glrm;PC10_agg;processing_time;50.92884016036987;0
5;traffic_fines_1;glrm;PC10_agg;lambda0;0.00623241232104376;0.25158273004403414
5;traffic_fines_1;glrm;PC10_agg;lambda1;0.008883711386946396;0.25158273004403414
5;traffic_fines_1;glrm;PC10_agg;processing_time;15.000912427902222;0
5;traffic_fines_1;glrm;PC10_agg;lambda0;0.00623241232104376;0.5030286002999651
5;traffic_fines_1;glrm;PC10_agg;lambda1;0.008883711386946396;0.5030286002999651
5;traffic_fines_1;glrm;PC10_agg;processing_time;30.441046714782715;0
5;traffic_fines_1;glrm;PC10_agg;lambda0;0.00623241232104376;0.7533109187710193
5;traffic_fines_1;glrm;PC10_agg;lambda1;0.008883711386946396;0.7533109187710193
5;traffic_fines_1;glrm;PC10_agg;processing_time;45.603697299957275;0
