iter;dataset;cls;method;param;value;score;;;;;
1;bpic2015_2_f2;llm;PC15_agg;max_depth;1;0.319702346;;;;;
1;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;950;0.319702346;;;;;
1;bpic2015_2_f2;llm;PC15_agg;processing_time;5.385637522;0;;;;;
1;bpic2015_2_f2;llm;PC15_agg;max_depth;1;0.63913393;;;;;
1;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;950;0.63913393;;;;;
1;bpic2015_2_f2;llm;PC15_agg;processing_time;10.50797939;0;;;;;
1;bpic2015_2_f2;llm;PC15_agg;max_depth;1;0.950807919;;;;;
1;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;950;0.950807919;;;;;11.08786788
1;bpic2015_2_f2;llm;PC15_agg;processing_time;16.21644783;0;;;;;
2;bpic2015_2_f2;llm;PC15_agg;max_depth;2;0.301822113;;;;;
2;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;430;0.301822113;;;;;
2;bpic2015_2_f2;llm;PC15_agg;processing_time;5.49451232;0;;;;;
2;bpic2015_2_f2;llm;PC15_agg;max_depth;2;0.620591512;;;;;
2;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;430;0.620591512;;;;;
2;bpic2015_2_f2;llm;PC15_agg;processing_time;10.82259202;0;;;;;
2;bpic2015_2_f2;llm;PC15_agg;max_depth;2;0.932304609;;;;;
2;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;430;0.932304609;;;;;
2;bpic2015_2_f2;llm;PC15_agg;processing_time;17.20695257;0;;;;;
3;bpic2015_2_f2;llm;PC15_agg;max_depth;1;0.319702346;;;;;
3;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;310;0.319702346;;;;;
3;bpic2015_2_f2;llm;PC15_agg;processing_time;5.34615922;0;;;;;
3;bpic2015_2_f2;llm;PC15_agg;max_depth;1;0.639134009;;;;;
3;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;310;0.639134009;;;;;
3;bpic2015_2_f2;llm;PC15_agg;processing_time;10.7158916;0;;;;;
3;bpic2015_2_f2;llm;PC15_agg;max_depth;1;0.950808345;;;;;
3;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;310;0.950808345;;;;;
3;bpic2015_2_f2;llm;PC15_agg;processing_time;16.55879188;0;;;;;
4;bpic2015_2_f2;llm;PC15_agg;max_depth;2;0.301823614;;;;;
4;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;190;0.301823614;;;;;
4;bpic2015_2_f2;llm;PC15_agg;processing_time;5.61102581;0;;;;;
4;bpic2015_2_f2;llm;PC15_agg;max_depth;2;0.620593014;;;;;
4;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;190;0.620593014;;;;;
4;bpic2015_2_f2;llm;PC15_agg;processing_time;11.02541494;0;;;;;
4;bpic2015_2_f2;llm;PC15_agg;max_depth;2;0.932307073;;;;;
4;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;190;0.932307073;;;;;
4;bpic2015_2_f2;llm;PC15_agg;processing_time;17.34878564;0;;;;;
5;bpic2015_2_f2;llm;PC15_agg;max_depth;2;0.301823376;;;;;
5;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;900;0.301823376;;;;;
5;bpic2015_2_f2;llm;PC15_agg;processing_time;5.67434001;0;;;;;
5;bpic2015_2_f2;llm;PC15_agg;max_depth;2;0.620592776;;;;;
5;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;900;0.620592776;;;;;
5;bpic2015_2_f2;llm;PC15_agg;processing_time;11.04950786;0;;;;;
5;bpic2015_2_f2;llm;PC15_agg;max_depth;2;0.932305007;;;;;
5;bpic2015_2_f2;llm;PC15_agg;min_samples_leaf;900;0.932305007;;;;;
5;bpic2015_2_f2;llm;PC15_agg;processing_time;17.35397959;0;;;;;
