iter;dataset;cls;method;param;value;score;;;;
1;bpic2015_2_f2;llm;PC20_agg;max_depth;1;0.313184636;;;;
1;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;950;0.313184636;;;;
1;bpic2015_2_f2;llm;PC20_agg;processing_time;4.770363569;0;;;;
1;bpic2015_2_f2;llm;PC20_agg;max_depth;1;0.626098689;;;;
1;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;950;0.626098689;;;;9.48704667
1;bpic2015_2_f2;llm;PC20_agg;processing_time;9.785513163;0;;;;
1;bpic2015_2_f2;llm;PC20_agg;max_depth;1;0.933269768;;;;
1;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;950;0.933269768;;;;
1;bpic2015_2_f2;llm;PC20_agg;processing_time;14.65230393;0;;;;
2;bpic2015_2_f2;llm;PC20_agg;max_depth;2;0.294719899;;;;
2;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;430;0.294719899;;;;
2;bpic2015_2_f2;llm;PC20_agg;processing_time;4.934619188;0;;;;
2;bpic2015_2_f2;llm;PC20_agg;max_depth;2;0.607416329;;;;
2;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;430;0.607416329;;;;
2;bpic2015_2_f2;llm;PC20_agg;processing_time;9.372521162;0;;;;
2;bpic2015_2_f2;llm;PC20_agg;max_depth;2;0.913233916;;;;
2;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;430;0.913233916;;;;
2;bpic2015_2_f2;llm;PC20_agg;processing_time;14.65983534;0;;;;
3;bpic2015_2_f2;llm;PC20_agg;max_depth;1;0.313173939;;;;
3;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;310;0.313173939;;;;
3;bpic2015_2_f2;llm;PC20_agg;processing_time;4.242291451;0;;;;
3;bpic2015_2_f2;llm;PC20_agg;max_depth;1;0.626088468;;;;
3;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;310;0.626088468;;;;
3;bpic2015_2_f2;llm;PC20_agg;processing_time;8.520257473;0;;;;
3;bpic2015_2_f2;llm;PC20_agg;max_depth;1;0.933259412;;;;
3;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;310;0.933259412;;;;
3;bpic2015_2_f2;llm;PC20_agg;processing_time;13.4648385;0;;;;
4;bpic2015_2_f2;llm;PC20_agg;max_depth;2;0.294717536;;;;
4;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;190;0.294717536;;;;
4;bpic2015_2_f2;llm;PC20_agg;processing_time;4.924106359;0;;;;
4;bpic2015_2_f2;llm;PC20_agg;max_depth;2;0.607413966;;;;
4;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;190;0.607413966;;;;
4;bpic2015_2_f2;llm;PC20_agg;processing_time;9.341422796;0;;;;
4;bpic2015_2_f2;llm;PC20_agg;max_depth;2;0.913329332;;;;
4;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;190;0.913329332;;;;
4;bpic2015_2_f2;llm;PC20_agg;processing_time;14.59234619;0;;;;
5;bpic2015_2_f2;llm;PC20_agg;max_depth;2;0.294744333;;;;
5;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;900;0.294744333;;;;
5;bpic2015_2_f2;llm;PC20_agg;processing_time;4.957416058;0;;;;
5;bpic2015_2_f2;llm;PC20_agg;max_depth;2;0.60745622;;;;
5;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;900;0.60745622;;;;
5;bpic2015_2_f2;llm;PC20_agg;processing_time;9.328553677;0;;;;
5;bpic2015_2_f2;llm;PC20_agg;max_depth;2;0.913369951;;;;
5;bpic2015_2_f2;llm;PC20_agg;min_samples_leaf;900;0.913369951;;;;
5;bpic2015_2_f2;llm;PC20_agg;processing_time;14.7593112;0;;;;
