iter;dataset;cls;method;param;value;score
1;bpic2015_2_f2;llm;all_agg;max_depth;1;0.3131906069505295
1;bpic2015_2_f2;llm;all_agg;min_samples_leaf;950;0.3131906069505295
1;bpic2015_2_f2;llm;all_agg;processing_time;159.29386353492737;0
1;bpic2015_2_f2;llm;all_agg;max_depth;1;0.6250977105859487
1;bpic2015_2_f2;llm;all_agg;min_samples_leaf;950;0.6250977105859487
1;bpic2015_2_f2;llm;all_agg;processing_time;287.31771206855774;0
1;bpic2015_2_f2;llm;all_agg;max_depth;1;0.9357338394124891
1;bpic2015_2_f2;llm;all_agg;min_samples_leaf;950;0.9357338394124891
1;bpic2015_2_f2;llm;all_agg;processing_time;417.20070004463196;0
2;bpic2015_2_f2;llm;all_agg;max_depth;2;0.29895921779928497
2;bpic2015_2_f2;llm;all_agg;min_samples_leaf;430;0.29895921779928497
2;bpic2015_2_f2;llm;all_agg;processing_time;111.70911002159119;0
2;bpic2015_2_f2;llm;all_agg;max_depth;2;0.6035134909968618
2;bpic2015_2_f2;llm;all_agg;min_samples_leaf;430;0.6035134909968618
2;bpic2015_2_f2;llm;all_agg;processing_time;233.12030863761902;0
2;bpic2015_2_f2;llm;all_agg;max_depth;2;0.9093336366332337
2;bpic2015_2_f2;llm;all_agg;min_samples_leaf;430;0.9093336366332337
2;bpic2015_2_f2;llm;all_agg;processing_time;372.06965470314026;0
3;bpic2015_2_f2;llm;all_agg;max_depth;1;0.3131951128500708
3;bpic2015_2_f2;llm;all_agg;min_samples_leaf;310;0.3131951128500708
3;bpic2015_2_f2;llm;all_agg;processing_time;151.4267544746399;0
3;bpic2015_2_f2;llm;all_agg;max_depth;1;0.6251045548190522
3;bpic2015_2_f2;llm;all_agg;min_samples_leaf;310;0.6251045548190522
3;bpic2015_2_f2;llm;all_agg;processing_time;276.2578990459442;0
3;bpic2015_2_f2;llm;all_agg;max_depth;1;0.9357389908436021
3;bpic2015_2_f2;llm;all_agg;min_samples_leaf;310;0.9357389908436021
3;bpic2015_2_f2;llm;all_agg;processing_time;402.87097001075745;0
4;bpic2015_2_f2;llm;all_agg;max_depth;2;0.2990704365879629
4;bpic2015_2_f2;llm;all_agg;min_samples_leaf;190;0.2990704365879629
4;bpic2015_2_f2;llm;all_agg;processing_time;103.55472421646118;0
4;bpic2015_2_f2;llm;all_agg;max_depth;2;0.6036125425244608
4;bpic2015_2_f2;llm;all_agg;min_samples_leaf;190;0.6036125425244608
4;bpic2015_2_f2;llm;all_agg;processing_time;223.41400599479675;0
4;bpic2015_2_f2;llm;all_agg;max_depth;2;0.9094352658365911
4;bpic2015_2_f2;llm;all_agg;min_samples_leaf;190;0.9094352658365911
4;bpic2015_2_f2;llm;all_agg;processing_time;360.69196462631226;0
5;bpic2015_2_f2;llm;all_agg;max_depth;2;0.29899194967928616
5;bpic2015_2_f2;llm;all_agg;min_samples_leaf;900;0.29899194967928616
5;bpic2015_2_f2;llm;all_agg;processing_time;104.40958547592163;0
5;bpic2015_2_f2;llm;all_agg;max_depth;2;0.6035387322829089
5;bpic2015_2_f2;llm;all_agg;min_samples_leaf;900;0.6035387322829089
5;bpic2015_2_f2;llm;all_agg;processing_time;223.5747673511505;0
5;bpic2015_2_f2;llm;all_agg;max_depth;2;0.909364610362385
5;bpic2015_2_f2;llm;all_agg;min_samples_leaf;900;0.909364610362385
5;bpic2015_2_f2;llm;all_agg;processing_time;360.3857989311218;0
