iter;dataset;cls;method;param;value;score
1;bpic2017_accepted;llm;PC20_agg;max_depth;1;0.2748135503910761
1;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;950;0.2748135503910761
1;bpic2017_accepted;llm;PC20_agg;processing_time;45.62594699859619;0
1;bpic2017_accepted;llm;PC20_agg;max_depth;1;0.5490247836754274
1;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;950;0.5490247836754274
1;bpic2017_accepted;llm;PC20_agg;processing_time;91.96987652778625;0
1;bpic2017_accepted;llm;PC20_agg;max_depth;1;0.8237312442577659
1;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;950;0.8237312442577659
1;bpic2017_accepted;llm;PC20_agg;processing_time;136.92238640785217;0
2;bpic2017_accepted;llm;PC20_agg;max_depth;2;0.27687462754789305
2;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;430;0.27687462754789305
2;bpic2017_accepted;llm;PC20_agg;processing_time;45.38955879211426;0
2;bpic2017_accepted;llm;PC20_agg;max_depth;2;0.5530468830980323
2;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;430;0.5530468830980323
2;bpic2017_accepted;llm;PC20_agg;processing_time;90.73138689994812;0
2;bpic2017_accepted;llm;PC20_agg;max_depth;2;0.8294731894161332
2;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;430;0.8294731894161332
2;bpic2017_accepted;llm;PC20_agg;processing_time;135.5594940185547;0
3;bpic2017_accepted;llm;PC20_agg;max_depth;1;0.2748152697101679
3;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;310;0.2748152697101679
3;bpic2017_accepted;llm;PC20_agg;processing_time;46.049960136413574;0
3;bpic2017_accepted;llm;PC20_agg;max_depth;1;0.5490262313638942
3;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;310;0.5490262313638942
3;bpic2017_accepted;llm;PC20_agg;processing_time;93.20797777175903;0
3;bpic2017_accepted;llm;PC20_agg;max_depth;1;0.8237307371891361
3;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;310;0.8237307371891361
3;bpic2017_accepted;llm;PC20_agg;processing_time;140.04835438728333;0
4;bpic2017_accepted;llm;PC20_agg;max_depth;2;0.2768746171870478
4;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;190;0.2768746171870478
4;bpic2017_accepted;llm;PC20_agg;processing_time;47.74025797843933;0
4;bpic2017_accepted;llm;PC20_agg;max_depth;2;0.5530468730911692
4;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;190;0.5530468730911692
4;bpic2017_accepted;llm;PC20_agg;processing_time;94.73240327835083;0
4;bpic2017_accepted;llm;PC20_agg;max_depth;2;0.8294731779156977
4;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;190;0.8294731779156977
4;bpic2017_accepted;llm;PC20_agg;processing_time;140.59286737442017;0
5;bpic2017_accepted;llm;PC20_agg;max_depth;2;0.27687463065614665
5;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;900;0.27687463065614665
5;bpic2017_accepted;llm;PC20_agg;processing_time;47.233551263809204;0
5;bpic2017_accepted;llm;PC20_agg;max_depth;2;0.553046884436376
5;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;900;0.553046884436376
5;bpic2017_accepted;llm;PC20_agg;processing_time;95.1938967704773;0
5;bpic2017_accepted;llm;PC20_agg;max_depth;2;0.8294731942226026
5;bpic2017_accepted;llm;PC20_agg;min_samples_leaf;900;0.8294731942226026
5;bpic2017_accepted;llm;PC20_agg;processing_time;143.89780569076538;0
