iter;dataset;cls;method;param;value;score
1;bpic2017_accepted;llm;all_agg;max_depth;1;0.2965877865305258
1;bpic2017_accepted;llm;all_agg;min_samples_leaf;950;0.2965877865305258
1;bpic2017_accepted;llm;all_agg;processing_time;2076.2619745731354;0
1;bpic2017_accepted;llm;all_agg;max_depth;1;0.5927730333600602
1;bpic2017_accepted;llm;all_agg;min_samples_leaf;950;0.5927730333600602
1;bpic2017_accepted;llm;all_agg;processing_time;6848.5844831466675;0
1;bpic2017_accepted;llm;all_agg;max_depth;1;0.8901459992143473
1;bpic2017_accepted;llm;all_agg;min_samples_leaf;950;0.8901459992143473
1;bpic2017_accepted;llm;all_agg;processing_time;11494.427952289581;0
2;bpic2017_accepted;llm;all_agg;max_depth;2;0.296914613758354
2;bpic2017_accepted;llm;all_agg;min_samples_leaf;430;0.296914613758354
2;bpic2017_accepted;llm;all_agg;processing_time;2139.106550216675;0
2;bpic2017_accepted;llm;all_agg;max_depth;2;0.5933699386478123
2;bpic2017_accepted;llm;all_agg;min_samples_leaf;430;0.5933699386478123
2;bpic2017_accepted;llm;all_agg;processing_time;4208.076792240143;0
2;bpic2017_accepted;llm;all_agg;max_depth;2;0.890368637323702
2;bpic2017_accepted;llm;all_agg;min_samples_leaf;430;0.890368637323702
2;bpic2017_accepted;llm;all_agg;processing_time;6654.891788482666;0
3;bpic2017_accepted;llm;all_agg;max_depth;1;0.29658779431379495
3;bpic2017_accepted;llm;all_agg;min_samples_leaf;310;0.29658779431379495
3;bpic2017_accepted;llm;all_agg;processing_time;1968.2854161262512;0
3;bpic2017_accepted;llm;all_agg;max_depth;1;0.5927730489309334
3;bpic2017_accepted;llm;all_agg;min_samples_leaf;310;0.5927730489309334
3;bpic2017_accepted;llm;all_agg;processing_time;6670.479031562805;0
3;bpic2017_accepted;llm;all_agg;max_depth;1;0.8901497786887683
3;bpic2017_accepted;llm;all_agg;min_samples_leaf;310;0.8901497786887683
3;bpic2017_accepted;llm;all_agg;processing_time;11208.287997722626;0
4;bpic2017_accepted;llm;all_agg;max_depth;2;0.29691458297906254
4;bpic2017_accepted;llm;all_agg;min_samples_leaf;190;0.29691458297906254
4;bpic2017_accepted;llm;all_agg;processing_time;2124.532202243805;0
4;bpic2017_accepted;llm;all_agg;max_depth;2;0.5933699186902567
4;bpic2017_accepted;llm;all_agg;min_samples_leaf;190;0.5933699186902567
4;bpic2017_accepted;llm;all_agg;processing_time;4182.965302944183;0
4;bpic2017_accepted;llm;all_agg;max_depth;2;0.8903717131618786
4;bpic2017_accepted;llm;all_agg;min_samples_leaf;190;0.8903717131618786
4;bpic2017_accepted;llm;all_agg;processing_time;6609.223528623581;0
5;bpic2017_accepted;llm;all_agg;max_depth;2;0.29691446774624713
5;bpic2017_accepted;llm;all_agg;min_samples_leaf;900;0.29691446774624713
5;bpic2017_accepted;llm;all_agg;processing_time;2123.0174765586853;0
5;bpic2017_accepted;llm;all_agg;max_depth;2;0.5933698846710286
5;bpic2017_accepted;llm;all_agg;min_samples_leaf;900;0.5933698846710286
5;bpic2017_accepted;llm;all_agg;processing_time;4178.500328540802;0
5;bpic2017_accepted;llm;all_agg;max_depth;2;0.8903997048883832
5;bpic2017_accepted;llm;all_agg;min_samples_leaf;900;0.8903997048883832
5;bpic2017_accepted;llm;all_agg;processing_time;7343.178073167801;0
