iter;dataset;cls;method;param;value;score
1;traffic_fines_1;llm;PC15_agg;max_depth;1;0.25166487674589194
1;traffic_fines_1;llm;PC15_agg;min_samples_leaf;950;0.25166487674589194
1;traffic_fines_1;llm;PC15_agg;processing_time;12.367025375366211;0
1;traffic_fines_1;llm;PC15_agg;max_depth;1;0.5031828036575327
1;traffic_fines_1;llm;PC15_agg;min_samples_leaf;950;0.5031828036575327
1;traffic_fines_1;llm;PC15_agg;processing_time;25.08608889579773;0
1;traffic_fines_1;llm;PC15_agg;max_depth;1;0.753535684497925
1;traffic_fines_1;llm;PC15_agg;min_samples_leaf;950;0.753535684497925
1;traffic_fines_1;llm;PC15_agg;processing_time;38.56910061836243;0
2;traffic_fines_1;llm;PC15_agg;max_depth;2;0.2213657016879652
2;traffic_fines_1;llm;PC15_agg;min_samples_leaf;430;0.2213657016879652
2;traffic_fines_1;llm;PC15_agg;processing_time;11.587621688842773;0
2;traffic_fines_1;llm;PC15_agg;max_depth;2;0.4728836282314635
2;traffic_fines_1;llm;PC15_agg;min_samples_leaf;430;0.4728836282314635
2;traffic_fines_1;llm;PC15_agg;processing_time;22.866711139678955;0
2;traffic_fines_1;llm;PC15_agg;max_depth;2;0.7232365090718559
2;traffic_fines_1;llm;PC15_agg;min_samples_leaf;430;0.7232365090718559
2;traffic_fines_1;llm;PC15_agg;processing_time;35.9421284198761;0
3;traffic_fines_1;llm;PC15_agg;max_depth;1;0.251664158577738
3;traffic_fines_1;llm;PC15_agg;min_samples_leaf;310;0.251664158577738
3;traffic_fines_1;llm;PC15_agg;processing_time;12.34414267539978;0
3;traffic_fines_1;llm;PC15_agg;max_depth;1;0.5031820838787556
3;traffic_fines_1;llm;PC15_agg;min_samples_leaf;310;0.5031820838787556
3;traffic_fines_1;llm;PC15_agg;processing_time;25.163789749145508;0
3;traffic_fines_1;llm;PC15_agg;max_depth;1;0.7535349647191479
3;traffic_fines_1;llm;PC15_agg;min_samples_leaf;310;0.7535349647191479
3;traffic_fines_1;llm;PC15_agg;processing_time;37.976773500442505;0
4;traffic_fines_1;llm;PC15_agg;max_depth;2;0.19944585403989432
4;traffic_fines_1;llm;PC15_agg;min_samples_leaf;190;0.19944585403989432
4;traffic_fines_1;llm;PC15_agg;processing_time;12.739248037338257;0
4;traffic_fines_1;llm;PC15_agg;max_depth;2;0.39884555243561987
4;traffic_fines_1;llm;PC15_agg;min_samples_leaf;190;0.39884555243561987
4;traffic_fines_1;llm;PC15_agg;processing_time;26.636974334716797;0
4;traffic_fines_1;llm;PC15_agg;max_depth;2;0.6491984332760122
4;traffic_fines_1;llm;PC15_agg;min_samples_leaf;190;0.6491984332760122
4;traffic_fines_1;llm;PC15_agg;processing_time;40.37212109565735;0
5;traffic_fines_1;llm;PC15_agg;max_depth;2;0.19944585403989432
5;traffic_fines_1;llm;PC15_agg;min_samples_leaf;900;0.19944585403989432
5;traffic_fines_1;llm;PC15_agg;processing_time;12.481044292449951;0
5;traffic_fines_1;llm;PC15_agg;max_depth;2;0.44213379652635737
5;traffic_fines_1;llm;PC15_agg;min_samples_leaf;900;0.44213379652635737
5;traffic_fines_1;llm;PC15_agg;processing_time;25.763914585113525;0
5;traffic_fines_1;llm;PC15_agg;max_depth;2;0.6924866773667496
5;traffic_fines_1;llm;PC15_agg;min_samples_leaf;900;0.6924866773667496
5;traffic_fines_1;llm;PC15_agg;processing_time;39.43222165107727;0
