iter;dataset;cls;method;param;value;score
1;traffic_fines_1;llm;all_agg;max_depth;1;0.27414699993664043
1;traffic_fines_1;llm;all_agg;min_samples_leaf;950;0.27414699993664043
1;traffic_fines_1;llm;all_agg;processing_time;2420.489814043045;0
1;traffic_fines_1;llm;all_agg;max_depth;1;0.5482544612924524
1;traffic_fines_1;llm;all_agg;min_samples_leaf;950;0.5482544612924524
1;traffic_fines_1;llm;all_agg;processing_time;4744.247391462326;0
1;traffic_fines_1;llm;all_agg;max_depth;1;0.8219106062847255
1;traffic_fines_1;llm;all_agg;min_samples_leaf;950;0.8219106062847255
1;traffic_fines_1;llm;all_agg;processing_time;6750.405844449997;0
2;traffic_fines_1;llm;all_agg;max_depth;2;0.275260986528418
2;traffic_fines_1;llm;all_agg;min_samples_leaf;430;0.275260986528418
2;traffic_fines_1;llm;all_agg;processing_time;1429.9219913482666;0
2;traffic_fines_1;llm;all_agg;max_depth;2;0.5504260678865811
2;traffic_fines_1;llm;all_agg;min_samples_leaf;430;0.5504260678865811
2;traffic_fines_1;llm;all_agg;processing_time;3138.8169832229614;0
2;traffic_fines_1;llm;all_agg;max_depth;2;0.825123758018567
2;traffic_fines_1;llm;all_agg;min_samples_leaf;430;0.825123758018567
2;traffic_fines_1;llm;all_agg;processing_time;4861.51481795311;0
3;traffic_fines_1;llm;all_agg;max_depth;1;0.27414690971728345
3;traffic_fines_1;llm;all_agg;min_samples_leaf;310;0.27414690971728345
3;traffic_fines_1;llm;all_agg;processing_time;2417.737672805786;0
3;traffic_fines_1;llm;all_agg;max_depth;1;0.5482543776076235
3;traffic_fines_1;llm;all_agg;min_samples_leaf;310;0.5482543776076235
3;traffic_fines_1;llm;all_agg;processing_time;6384.1214158535;0
3;traffic_fines_1;llm;all_agg;max_depth;1;0.8219105221417711
3;traffic_fines_1;llm;all_agg;min_samples_leaf;310;0.8219105221417711
3;traffic_fines_1;llm;all_agg;processing_time;8406.416983604431;0
4;traffic_fines_1;llm;all_agg;max_depth;2;0.2752611036940254
4;traffic_fines_1;llm;all_agg;min_samples_leaf;190;0.2752611036940254
4;traffic_fines_1;llm;all_agg;processing_time;1448.2979350090027;0
4;traffic_fines_1;llm;all_agg;max_depth;2;0.5504262037354167
4;traffic_fines_1;llm;all_agg;min_samples_leaf;190;0.5504262037354167
4;traffic_fines_1;llm;all_agg;processing_time;3026.531451702118;0
4;traffic_fines_1;llm;all_agg;max_depth;2;0.8251239212633079
4;traffic_fines_1;llm;all_agg;min_samples_leaf;190;0.8251239212633079
4;traffic_fines_1;llm;all_agg;processing_time;4596.971725940704;0
5;traffic_fines_1;llm;all_agg;max_depth;2;0.2752608571312362
5;traffic_fines_1;llm;all_agg;min_samples_leaf;900;0.2752608571312362
5;traffic_fines_1;llm;all_agg;processing_time;1432.9581623077393;0
5;traffic_fines_1;llm;all_agg;max_depth;2;0.5504259877284491
5;traffic_fines_1;llm;all_agg;min_samples_leaf;900;0.5504259877284491
5;traffic_fines_1;llm;all_agg;processing_time;3025.8987295627594;0
5;traffic_fines_1;llm;all_agg;max_depth;2;0.8251237142356004
5;traffic_fines_1;llm;all_agg;min_samples_leaf;900;0.8251237142356004
5;traffic_fines_1;llm;all_agg;processing_time;4760.297731399536;0
