iter;dataset;cls;method;param;value;score
1;bpic2015_2_f2;xgboost;PC20_agg;colsample_bytree;0.8179870735410893;0.2963240725008761
1;bpic2015_2_f2;xgboost;PC20_agg;learning_rate;0.3288348348160668;0.2963240725008761
1;bpic2015_2_f2;xgboost;PC20_agg;max_depth;8;0.2963240725008761
1;bpic2015_2_f2;xgboost;PC20_agg;min_child_weight;1;0.2963240725008761
1;bpic2015_2_f2;xgboost;PC20_agg;subsample;0.9745777856393305;0.2963240725008761
1;bpic2015_2_f2;xgboost;PC20_agg;processing_time;12.68403959274292;0
1;bpic2015_2_f2;xgboost;PC20_agg;colsample_bytree;0.8179870735410893;0.6017203835775543
1;bpic2015_2_f2;xgboost;PC20_agg;learning_rate;0.3288348348160668;0.6017203835775543
1;bpic2015_2_f2;xgboost;PC20_agg;max_depth;8;0.6017203835775543
1;bpic2015_2_f2;xgboost;PC20_agg;min_child_weight;1;0.6017203835775543
1;bpic2015_2_f2;xgboost;PC20_agg;subsample;0.9745777856393305;0.6017203835775543
1;bpic2015_2_f2;xgboost;PC20_agg;processing_time;23.519155502319336;0
1;bpic2015_2_f2;xgboost;PC20_agg;colsample_bytree;0.8179870735410893;0.9028694537214209
1;bpic2015_2_f2;xgboost;PC20_agg;learning_rate;0.3288348348160668;0.9028694537214209
1;bpic2015_2_f2;xgboost;PC20_agg;max_depth;8;0.9028694537214209
1;bpic2015_2_f2;xgboost;PC20_agg;min_child_weight;1;0.9028694537214209
1;bpic2015_2_f2;xgboost;PC20_agg;subsample;0.9745777856393305;0.9028694537214209
1;bpic2015_2_f2;xgboost;PC20_agg;processing_time;34.42933654785156;0
2;bpic2015_2_f2;xgboost;PC20_agg;colsample_bytree;0.55404684413016;0.30267936905390685
2;bpic2015_2_f2;xgboost;PC20_agg;learning_rate;0.2689454648351185;0.30267936905390685
2;bpic2015_2_f2;xgboost;PC20_agg;max_depth;28;0.30267936905390685
2;bpic2015_2_f2;xgboost;PC20_agg;min_child_weight;4;0.30267936905390685
2;bpic2015_2_f2;xgboost;PC20_agg;subsample;0.6821323160544785;0.30267936905390685
2;bpic2015_2_f2;xgboost;PC20_agg;processing_time;11.473222970962524;0
2;bpic2015_2_f2;xgboost;PC20_agg;colsample_bytree;0.55404684413016;0.6096969379447806
2;bpic2015_2_f2;xgboost;PC20_agg;learning_rate;0.2689454648351185;0.6096969379447806
2;bpic2015_2_f2;xgboost;PC20_agg;max_depth;28;0.6096969379447806
2;bpic2015_2_f2;xgboost;PC20_agg;min_child_weight;4;0.6096969379447806
2;bpic2015_2_f2;xgboost;PC20_agg;subsample;0.6821323160544785;0.6096969379447806
2;bpic2015_2_f2;xgboost;PC20_agg;processing_time;22.193638563156128;0
2;bpic2015_2_f2;xgboost;PC20_agg;colsample_bytree;0.55404684413016;0.9126082534335187
2;bpic2015_2_f2;xgboost;PC20_agg;learning_rate;0.2689454648351185;0.9126082534335187
2;bpic2015_2_f2;xgboost;PC20_agg;max_depth;28;0.9126082534335187
2;bpic2015_2_f2;xgboost;PC20_agg;min_child_weight;4;0.9126082534335187
2;bpic2015_2_f2;xgboost;PC20_agg;subsample;0.6821323160544785;0.9126082534335187
2;bpic2015_2_f2;xgboost;PC20_agg;processing_time;32.39779615402222;0
3;bpic2015_2_f2;xgboost;PC20_agg;colsample_bytree;0.981287476845671;0.29926411700157957
3;bpic2015_2_f2;xgboost;PC20_agg;learning_rate;0.7116111359928399;0.29926411700157957
3;bpic2015_2_f2;xgboost;PC20_agg;max_depth;21;0.29926411700157957
3;bpic2015_2_f2;xgboost;PC20_agg;min_child_weight;2;0.29926411700157957
3;bpic2015_2_f2;xgboost;PC20_agg;subsample;0.6148163583598245;0.29926411700157957
