iter;dataset;cls;method;param;value;score
1;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.8179870735410893;0.25166208537186086
1;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.3288348348160668;0.25166208537186086
1;traffic_fines_1;xgboost;PC10_agg;max_depth;8;0.25166208537186086
1;traffic_fines_1;xgboost;PC10_agg;min_child_weight;1;0.25166208537186086
1;traffic_fines_1;xgboost;PC10_agg;subsample;0.9745777856393305;0.25166208537186086
1;traffic_fines_1;xgboost;PC10_agg;processing_time;27.571798086166382;0
1;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.8179870735410893;0.5031751578653952
1;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.3288348348160668;0.5031751578653952
1;traffic_fines_1;xgboost;PC10_agg;max_depth;8;0.5031751578653952
1;traffic_fines_1;xgboost;PC10_agg;min_child_weight;1;0.5031751578653952
1;traffic_fines_1;xgboost;PC10_agg;subsample;0.9745777856393305;0.5031751578653952
1;traffic_fines_1;xgboost;PC10_agg;processing_time;56.7905695438385;0
1;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.8179870735410893;0.7535192527747601
1;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.3288348348160668;0.7535192527747601
1;traffic_fines_1;xgboost;PC10_agg;max_depth;8;0.7535192527747601
1;traffic_fines_1;xgboost;PC10_agg;min_child_weight;1;0.7535192527747601
1;traffic_fines_1;xgboost;PC10_agg;subsample;0.9745777856393305;0.7535192527747601
1;traffic_fines_1;xgboost;PC10_agg;processing_time;84.86369156837463;0
2;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.55404684413016;0.2516621239978853
2;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.2689454648351185;0.2516621239978853
2;traffic_fines_1;xgboost;PC10_agg;max_depth;28;0.2516621239978853
2;traffic_fines_1;xgboost;PC10_agg;min_child_weight;4;0.2516621239978853
2;traffic_fines_1;xgboost;PC10_agg;subsample;0.6821323160544785;0.2516621239978853
2;traffic_fines_1;xgboost;PC10_agg;processing_time;26.970333337783813;0
2;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.55404684413016;0.5031751964914197
2;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.2689454648351185;0.5031751964914197
2;traffic_fines_1;xgboost;PC10_agg;max_depth;28;0.5031751964914197
2;traffic_fines_1;xgboost;PC10_agg;min_child_weight;4;0.5031751964914197
2;traffic_fines_1;xgboost;PC10_agg;subsample;0.6821323160544785;0.5031751964914197
2;traffic_fines_1;xgboost;PC10_agg;processing_time;54.14042925834656;0
2;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.55404684413016;0.7535193063814888
2;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.2689454648351185;0.7535193063814888
2;traffic_fines_1;xgboost;PC10_agg;max_depth;28;0.7535193063814888
2;traffic_fines_1;xgboost;PC10_agg;min_child_weight;4;0.7535193063814888
2;traffic_fines_1;xgboost;PC10_agg;subsample;0.6821323160544785;0.7535193063814888
2;traffic_fines_1;xgboost;PC10_agg;processing_time;82.26019215583801;0
3;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.981287476845671;0.25166211627268037
3;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.7116111359928399;0.25166211627268037
3;traffic_fines_1;xgboost;PC10_agg;max_depth;21;0.25166211627268037
3;traffic_fines_1;xgboost;PC10_agg;min_child_weight;2;0.25166211627268037
3;traffic_fines_1;xgboost;PC10_agg;subsample;0.6148163583598245;0.25166211627268037
3;traffic_fines_1;xgboost;PC10_agg;processing_time;26.840564250946045;0
3;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.981287476845671;0.5031751887662148
3;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.7116111359928399;0.5031751887662148
3;traffic_fines_1;xgboost;PC10_agg;max_depth;21;0.5031751887662148
3;traffic_fines_1;xgboost;PC10_agg;min_child_weight;2;0.5031751887662148
3;traffic_fines_1;xgboost;PC10_agg;subsample;0.6148163583598245;0.5031751887662148
3;traffic_fines_1;xgboost;PC10_agg;processing_time;54.11885857582092;0
3;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.981287476845671;0.7535192880735847
3;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.7116111359928399;0.7535192880735847
3;traffic_fines_1;xgboost;PC10_agg;max_depth;21;0.7535192880735847
3;traffic_fines_1;xgboost;PC10_agg;min_child_weight;2;0.7535192880735847
3;traffic_fines_1;xgboost;PC10_agg;subsample;0.6148163583598245;0.7535192880735847
3;traffic_fines_1;xgboost;PC10_agg;processing_time;80.84748268127441;0
4;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.6030917501392087;0.2516621239978853
4;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.06243406529531159;0.2516621239978853
4;traffic_fines_1;xgboost;PC10_agg;max_depth;10;0.2516621239978853
4;traffic_fines_1;xgboost;PC10_agg;min_child_weight;5;0.2516621239978853
4;traffic_fines_1;xgboost;PC10_agg;subsample;0.5473186965244072;0.2516621239978853
4;traffic_fines_1;xgboost;PC10_agg;processing_time;26.744255542755127;0
4;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.6030917501392087;0.5031751964914197
4;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.06243406529531159;0.5031751964914197
4;traffic_fines_1;xgboost;PC10_agg;max_depth;10;0.5031751964914197
4;traffic_fines_1;xgboost;PC10_agg;min_child_weight;5;0.5031751964914197
4;traffic_fines_1;xgboost;PC10_agg;subsample;0.5473186965244072;0.5031751964914197
4;traffic_fines_1;xgboost;PC10_agg;processing_time;53.46414756774902;0
4;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.6030917501392087;0.7535192957987894
4;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.06243406529531159;0.7535192957987894
4;traffic_fines_1;xgboost;PC10_agg;max_depth;10;0.7535192957987894
4;traffic_fines_1;xgboost;PC10_agg;min_child_weight;5;0.7535192957987894
4;traffic_fines_1;xgboost;PC10_agg;subsample;0.5473186965244072;0.7535192957987894
4;traffic_fines_1;xgboost;PC10_agg;processing_time;80.56951832771301;0
5;traffic_fines_1;xgboost;PC10_agg;colsample_bytree;0.8998331474478805;0.25166211627268037
5;traffic_fines_1;xgboost;PC10_agg;learning_rate;0.13351277196704014;0.25166211627268037
5;traffic_fines_1;xgboost;PC10_agg;max_depth;9;0.25166211627268037
5;traffic_fines_1;xgboost;PC10_agg;min_child_weight;4;0.25166211627268037
5;traffic_fines_1;xgboost;PC10_agg;subsample;0.9441296990463661;0.25166211627268037
5;traffic_fines_1;xgboost;PC10_agg;processing_time;26.20997977256775;0
