iter;dataset;cls;method;param;value;score;;;
1;traffic_fines_1;xgboost;PC15_agg;colsample_bytree;0.817987074;0.251662085;;;
1;traffic_fines_1;xgboost;PC15_agg;learning_rate;0.328834835;0.251662085;;;
1;traffic_fines_1;xgboost;PC15_agg;max_depth;8;0.251662085;;;
1;traffic_fines_1;xgboost;PC15_agg;min_child_weight;1;0.251662085;;;
1;traffic_fines_1;xgboost;PC15_agg;subsample;0.974577786;0.251662085;;;
1;traffic_fines_1;xgboost;PC15_agg;processing_time;27.478127;0;;;
1;traffic_fines_1;xgboost;PC15_agg;colsample_bytree;0.817987074;0.503175158;;;
1;traffic_fines_1;xgboost;PC15_agg;learning_rate;0.328834835;0.503175158;;;58.17397359
1;traffic_fines_1;xgboost;PC15_agg;max_depth;8;0.503175158;;;
1;traffic_fines_1;xgboost;PC15_agg;min_child_weight;1;0.503175158;;;
1;traffic_fines_1;xgboost;PC15_agg;subsample;0.974577786;0.503175158;;;
1;traffic_fines_1;xgboost;PC15_agg;processing_time;55.25249648;0;;;
1;traffic_fines_1;xgboost;PC15_agg;colsample_bytree;0.817987074;0.753519253;;;
1;traffic_fines_1;xgboost;PC15_agg;learning_rate;0.328834835;0.753519253;;;
1;traffic_fines_1;xgboost;PC15_agg;max_depth;8;0.753519253;;;
1;traffic_fines_1;xgboost;PC15_agg;min_child_weight;1;0.753519253;;;
1;traffic_fines_1;xgboost;PC15_agg;subsample;0.974577786;0.753519253;;;
1;traffic_fines_1;xgboost;PC15_agg;processing_time;83.74947667;0;;;
2;traffic_fines_1;xgboost;PC15_agg;colsample_bytree;0.554046844;0.251662124;;;
2;traffic_fines_1;xgboost;PC15_agg;learning_rate;0.268945465;0.251662124;;;
2;traffic_fines_1;xgboost;PC15_agg;max_depth;28;0.251662124;;;
2;traffic_fines_1;xgboost;PC15_agg;min_child_weight;4;0.251662124;;;
2;traffic_fines_1;xgboost;PC15_agg;subsample;0.682132316;0.251662124;;;
2;traffic_fines_1;xgboost;PC15_agg;processing_time;28.87032843;0;;;
2;traffic_fines_1;xgboost;PC15_agg;colsample_bytree;0.554046844;0.503175196;;;
2;traffic_fines_1;xgboost;PC15_agg;learning_rate;0.268945465;0.503175196;;;
2;traffic_fines_1;xgboost;PC15_agg;max_depth;28;0.503175196;;;
2;traffic_fines_1;xgboost;PC15_agg;min_child_weight;4;0.503175196;;;
2;traffic_fines_1;xgboost;PC15_agg;subsample;0.682132316;0.503175196;;;
2;traffic_fines_1;xgboost;PC15_agg;processing_time;56.33240247;0;;;
2;traffic_fines_1;xgboost;PC15_agg;colsample_bytree;0.554046844;0.753519306;;;
2;traffic_fines_1;xgboost;PC15_agg;learning_rate;0.268945465;0.753519306;;;
2;traffic_fines_1;xgboost;PC15_agg;max_depth;28;0.753519306;;;
2;traffic_fines_1;xgboost;PC15_agg;min_child_weight;4;0.753519306;;;
2;traffic_fines_1;xgboost;PC15_agg;subsample;0.682132316;0.753519306;;;
2;traffic_fines_1;xgboost;PC15_agg;processing_time;82.89845562;0;;;
3;traffic_fines_1;xgboost;PC15_agg;colsample_bytree;0.981287477;0.251662116;;;
3;traffic_fines_1;xgboost;PC15_agg;learning_rate;0.711611136;0.251662116;;;
3;traffic_fines_1;xgboost;PC15_agg;max_depth;21;0.251662116;;;
3;traffic_fines_1;xgboost;PC15_agg;min_child_weight;2;0.251662116;;;
3;traffic_fines_1;xgboost;PC15_agg;subsample;0.614816358;0.251662116;;;
3;traffic_fines_1;xgboost;PC15_agg;processing_time;26.56088829;0;;;
