iter;dataset;cls;method;param;value;score;;;
1;traffic_fines_1;xgboost;all_agg;colsample_bytree;0.817987074;0.276178355;;;
1;traffic_fines_1;xgboost;all_agg;learning_rate;0.328834835;0.276178355;;;
1;traffic_fines_1;xgboost;all_agg;max_depth;8;0.276178355;;;
1;traffic_fines_1;xgboost;all_agg;min_child_weight;1;0.276178355;;;
1;traffic_fines_1;xgboost;all_agg;subsample;0.974577786;0.276178355;;;
1;traffic_fines_1;xgboost;all_agg;processing_time;294.9923356;0;;;
1;traffic_fines_1;xgboost;all_agg;colsample_bytree;0.817987074;0.552124333;;;1065.591063
1;traffic_fines_1;xgboost;all_agg;learning_rate;0.328834835;0.552124333;;;
1;traffic_fines_1;xgboost;all_agg;max_depth;8;0.552124333;;;
1;traffic_fines_1;xgboost;all_agg;min_child_weight;1;0.552124333;;;
1;traffic_fines_1;xgboost;all_agg;subsample;0.974577786;0.552124333;;;
1;traffic_fines_1;xgboost;all_agg;processing_time;588.2912707;0;;;
1;traffic_fines_1;xgboost;all_agg;colsample_bytree;0.817987074;0.828038138;;;
1;traffic_fines_1;xgboost;all_agg;learning_rate;0.328834835;0.828038138;;;
1;traffic_fines_1;xgboost;all_agg;max_depth;8;0.828038138;;;
1;traffic_fines_1;xgboost;all_agg;min_child_weight;1;0.828038138;;;
1;traffic_fines_1;xgboost;all_agg;subsample;0.974577786;0.828038138;;;
1;traffic_fines_1;xgboost;all_agg;processing_time;901.2009616;0;;;
2;traffic_fines_1;xgboost;all_agg;colsample_bytree;0.554046844;0.269227613;;;
2;traffic_fines_1;xgboost;all_agg;learning_rate;0.268945465;0.269227613;;;
2;traffic_fines_1;xgboost;all_agg;max_depth;28;0.269227613;;;
2;traffic_fines_1;xgboost;all_agg;min_child_weight;4;0.269227613;;;
2;traffic_fines_1;xgboost;all_agg;subsample;0.682132316;0.269227613;;;
2;traffic_fines_1;xgboost;all_agg;processing_time;706.0027778;0;;;
2;traffic_fines_1;xgboost;all_agg;colsample_bytree;0.554046844;0.537696809;;;
2;traffic_fines_1;xgboost;all_agg;learning_rate;0.268945465;0.537696809;;;
2;traffic_fines_1;xgboost;all_agg;max_depth;28;0.537696809;;;
2;traffic_fines_1;xgboost;all_agg;min_child_weight;4;0.537696809;;;
2;traffic_fines_1;xgboost;all_agg;subsample;0.682132316;0.537696809;;;
2;traffic_fines_1;xgboost;all_agg;processing_time;1422.3323;0;;;
2;traffic_fines_1;xgboost;all_agg;colsample_bytree;0.554046844;0.806750417;;;
2;traffic_fines_1;xgboost;all_agg;learning_rate;0.268945465;0.806750417;;;
